Target language lemma,ID,User language gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,Translation,Reference,Topic(s),Lesson,
жёлтый,1094,yellow,A,A1,МН,2,жёлтый,Nom.Masc.Sing,Мне нравится твой жёлтый свитер.,I like your yellow sweater.,_,описание,7,
жёлтый,1095,yellow,A,A1,МН,3,жёлтыми,Ins.Plur,Я ищу юбку с жёлтыми полосками.,I am looking for a skirt with yellow stripes.,_,описание,7,
сумка,1096,bag,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,сумку,Acc.Sing,Не забудь сумку! Там наши паспорта.,Don’t forget the bag! Our passports are there.,_,магазин,7,
сумка,1097,bag,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,сумки,Gen.Sing,Я не выхожу из дома без сумки.,I don't leave the house without my purse.,_,магазин,7,
сумка,1098,bag,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,сумке,Loc.Sing,Я не могу найти ключи в сумке.,I can’t find the keys in the bag.,_,магазин,7,
соль,1099,salt,N.Fem.Inan,A1,"Golosa, MiP, МН",1,соли,Gen.Sing,"В этом салате мало соли, нужно добавить.","There's not enough salt in this salad, we need to add more.",_,"еда, магазин",31,
соль,1100,salt,N.Fem.Inan,A1,"Golosa, MiP, МН",2,соль,Acc.Sing,"Передай мне, пожалуйста, соль.","Pass me the salt, please.",_,"еда, магазин",31,
соль,1101,salt,N.Fem.Inan,A1,"Golosa, MiP, МН",3,солей,Gen.Plur,В этой воде много солей магния.,This water contains a lot of magnesium salts.,_,"еда, магазин",31,
вокзал,1102,train station,N.Masc.Inan,A1,"MiP, LM, МН, Поехали",1,вокзала,Gen.Sing,С какого вокзала ты уезжаешь?,Which train station do you depart from?,_,"транспорт, путешествие",19,
вокзал,1103,train station,N.Masc.Inan,A1,"MiP, LM, МН, Поехали",2,вокзале,Loc.Sing,Я провёл ночь на вокзале — ждал поезд в Мурманск.,I spent the night at the train station — I was waiting for the train to Murmansk.,_,"транспорт, путешествие",19,
вокзал,1104,train station,N.Masc.Inan,A1,"MiP, LM, МН, Поехали",3,вокзал,Acc.Sing,Вася поехал на вокзал встречать своих друзей.,Vasya has gone to the train station to pick up his friends.,_,"транспорт, путешествие",19,
бедный,1105,poor,A,A1,МН,1,бедный,Nom.Masc.Sing,Откуда у Пети деньги? Он же бедный студент.,Where does Petya get money from? He’s a poor student.,_,"люди, описание",23,
бедный,1106,poor,A,A1,МН,2,бедная,Nom.Fem.Sing,Бедная девочка! Выздоравливай скорее!,Poor girl! Get well soon!,_,"люди, описание",23,
бедный,1107,poor,N.Masc.Anim,A1,МН,3,бедных,Gen.Plur,Дети из бедных семей получат бесплатные обеды в школе.,Children from poor families will get free lunches at school.,_,"люди, описание",23,
специальность,1108,profession,N.Fem.Inan,A1,"Golosa, MiP, МН",1,специальности,Dat.Sing,Кто ты по специальности?,What’s your profession?,_,учёба/работа,26,
специальность,1109,profession,N.Fem.Inan,A1,"Golosa, MiP, МН",2,специальность,Nom.Sing,"Моя специальность — переводчик, но я работаю фотографом.","I’m an interpreter by profession, but I work as a photographer.",_,учёба/работа,26,
специальность,1110,profession,N.Fem.Inan,A1,"Golosa, MiP, МН",3,специальностям,Dat.Plur,В этом университете учат двадцати специальностям.,They teach 20 specializations in this university.,_,учёба/работа,26,
серый,1111,grey,A,A1,"Golosa, MiP, МН",1,серые,Nom.Plur,Мне не нравятся эти серые тучи на небе.,I don't like those grey clouds in the sky.,_,описание,32,
серый,1112,grey,A,A1,"Golosa, MiP, МН",2,серый,Nom.Masc.Sing,Серый волк — герой многих русских сказок.,The grey wolf is a character in many Russian fairy-tales.,_,описание,32,
серый,1113,grey,A,A1,"Golosa, MiP, МН",3,серых,Loc.Plur,Видите мужчину в серых штанах? Это мой дядя.,Do you see that man in grey pants? That’s my uncle.,_,описание,32,
поступать,1114,apply for entrance,V,A1,"Golosa, MiP, МН",1,поступают,Imperf.Plur.3,Куда поступают твои одноклассники?,What universities are your classmates are applying to?,_,учёба/работа,22,
поступать,1115,apply for entrance,V,A1,"Golosa, MiP, МН",2,поступать,Imperf.Inf,Мой брат в этом году поступает в МГУ.,My brother is applying to Moscow State University this year.,_,учёба/работа,22,
поступать,1116,apply for entrance,V,A1,"Golosa, MiP, МН",3,поступает,Imperf.Sing.3,"В этом году он не поступает в университет, а идёт работать.","He’s not applying to the university this year, he’s going to work.",_,учёба/работа,22,
факультет,1117,faculty,N.Masc.Inan,A1,"Golosa, MiP, МН",1,факультете,Loc.Sing,На каком факультете ты учишься?,Which faculty/department of the university do you study at?,_,учёба/работа,22,
факультет,1118,faculty,N.Masc.Inan,A1,"Golosa, MiP, МН",2,факультета,Gen.Sing,Это профессор с моего факультета.,This is a professor from my faculty/department.,_,учёба/работа,22,
факультет,1119,faculty,N.Masc.Inan,A1,"Golosa, MiP, МН",3,факультет,Acc.Sing,Я поступила на факультет лингвистики.,I got accepted into the linguistics department.,_,учёба/работа,22,
внучка,1120,granddaughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Поехали",1,внучка,Nom.Sing,Моя внучка любит танцевать.,My granddaughter likes to dance.,_,люди,15,
внучка,1121,granddaughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Поехали",2,внучку,Acc.Sing,Как зовут вашу внучку?,What's your granddaughter’s name?,_,люди,15,
внучка,1122,granddaughter,N.Fem.Anim,A1,"Golosa, MiP, LM, МН, Поехали",3,внучки,Gen.Sing,У моей внучки много талантов.,My granddaughter has many talents.,_,люди,15,
посылать,1123,send,V,A1,"MiP, МН",1,посылает,Imperf.Sing.3,Каждый месяц он посылает деньги своей семье.,He sends money to his family every month.,_,"люди, общение",27,
посылать,1124,send,V,A1,"MiP, МН",2,посылать,Imperf.Inf,Я люблю посылать друзьям открытки из путешествий.,I like to send my friends postcards from my travels.,_,"люди, общение",27,
посылать,1125,send,V,A1,"MiP, МН",3,посылают,Imperf.Plur.3,Сергея всегда посылают на встречи с клиентами.,They always send Sergey to meet with clients.,_,"люди, общение",27,
бассейн,1126,swimming pool,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",1,бассейна,Gen.Sing,Я только что вернулась из бассейна.,I just came back from the swimming pool.,_,"свободное время, здоровье",12,
бассейн,1127,swimming pool,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",2,бассейне,Loc.Sing,Я не люблю плавать в бассейне. Там слишком грязно.,I don't like to swim in the swimming pool. It’s too dirty there.,_,"свободное время, здоровье",12,
бассейн,1128,swimming pool,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",3,бассейн,Nom.Sing,Рядом с нашим домом открылся новый бассейн.,A new swimming pool has opened next door to us.,_,"свободное время, здоровье",12,
менеджер,1129,manager,N.Masc.Anim,A1,"Golosa, MiP, МН",1,менеджер,Nom.Sing,Генеральный менеджер сейчас в отпуске. Что ему передать?,The general manager is now on vacation. Should I take a message?,_,"люди, учёба/работа",24,
менеджер,1130,manager,N.Masc.Anim,A1,"Golosa, MiP, МН",2,менеджеры,Nom.Plur,Менеджеры нашей компании собрались на встречу.,The managers of our company gathered for the meeting.,_,"люди, учёба/работа",24,
менеджер,1131,manager,N.Masc.Anim,A1,"Golosa, MiP, МН",3,менеджера,Gen.Sing,Дайте мне номер менеджера! Я хочу с ним поговорить. ,Give me your manager's number! I want to talk to him.,_,"люди, учёба/работа",24,
англичанин,1132,Englishman,N.Masc.Anim,A1,"МН, Поехали, Кс",1,англичане,Nom.Plur,Англичане пьют чай с молоком.,The English drink tea with milk.,_,"политика, люди",24,
англичанин,1133,Englishman,N.Masc.Anim,A1,"МН, Поехали, Кс",2,англичанин,Nom.Sing,"Наш сосед — англичанин. Он родился в Лондоне, но вырос в Москве.",Our neighbor is an Englishman. He was born in London but grew up in Moscow.,_,"политика, люди",24,
англичанин,1134,Englishman,N.Masc.Anim,A1,"МН, Поехали, Кс",3,англичанина,Acc.Sing,Ваня похож на англичанина.,Vanya looks like an Englishman.,_,"политика, люди",24,
свидание,1135,appointment,N.Neut.Inan,A1,"LM, МН",1,свидания,Gen.Sing,Мне пора идти. До свидания!,It’s time for me to go. Goodbye!,_,"люди, общение, свободное время",32,
свидание,1136,appointment,N.Neut.Inan,A1,"LM, МН",2,свидание,Acc.Sing,Я вчера опоздала на свидание.,I was late for my appointment yesterday.,_,"люди, общение, свободное время",32,
свидание,1137,deleted,,,,,,,,,_,,,"свиданье is an old fashioned spelling and now rather rare, so I have removed this one"
спокойный,1138,calm,A,A1,МН,1,спокойное,Nom.Neut.Sing,Море сегодня спокойное.,The sea is calm today.,_,"люди, внутренний мир, описание",29,
спокойный,1139,calm,A,A1,МН,2,спокойной,Gen.Fem.Sing,Спокойной ночи! Сладких снов!,Goodnight! Sweet dreams!,_,"люди, внутренний мир, описание",29,
спокойный,1140,calm,A,A1,МН,3,спокойная,Nom.Fem.Sing,"День был ветреный и дождливый, а ночь — спокойная и тихая.",The day was windy and rainy but the night was calm and quiet.,_,"люди, внутренний мир, описание",29,
поужинать,1141,eat dinner,V,A1,"Golosa, MiP, LM, МН",1,поужинать,Perf.Inf,Где нам сегодня поужинать? Я хочу пиццу.,Where should we have dinner tonight? I want pizza.,_,еда,25,
поужинать,1142,eat dinner,V,A1,"Golosa, MiP, LM, МН",2,поужинали,Perf.Plur.Past,Вчера мы поужинали в итальянском ресторане.,We had dinner at an Italian restaurant yesterday.,_,еда,25,
поужинать,1143,eat dinner,V,A1,"Golosa, MiP, LM, МН",3,поужинаем,Perf.Plur.1,Давай поужинаем сегодня вместе?,Shall we have dinner together tonight?,_,еда,25,
внук,1144,grandson,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",1,внуков,Gen.Plur,У Марии Петровны пять внуков.,Mariya Petrovna has 5 grandchildren.,_,люди,15,
внук,1145,grandson,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",2,внуки,Nom.Plur,Мои внуки часто приезжают ко мне в гости.,My grandchildren visit me often.,_,люди,15,
внук,1146,grandson,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",3,внуку,Dat.Sing,Бабушка приготовила внуку котлеты с картошкой.,Grandmother made meatballs with potatoes for her grandson.,_,люди,15,
общежитие,1147,dormitory,N.Neut.Inan,A1,"Golosa, MiP, МН",1,общежитии,Loc.Sing,Вы живёте в квартире или в общежитии?,Do you live in an apartment or in a student dormitory?,_,"жильё, учёба/работа",22,
общежитие,1148,dormitory,N.Neut.Inan,A1,"Golosa, MiP, МН",2,общежитие,Nom.Sing,Наше общежитие очень старое.,Our dormitory is very old.,_,"жильё, учёба/работа",22,
общежитие,1149,dormitory,N.Neut.Inan,A1,"Golosa, MiP, МН",3,общежитиях,Loc.Plur,В общежитиях нельзя пить и курить.,It's prohibited to drink alcohol and smoke in the dormitories.,_,"жильё, учёба/работа",22,
иностранец,1150,foreigner,N.Masc.Anim,A1,МН,1,иностранцы,Nom.Plur,Иностранцы обычно приезжают в Москву или в Санкт-Петербург.,Foreigners usually come to Moscow or Saint Petersburg.,_,"политика, люди",24,
иностранец,1151,foreigner,N.Masc.Anim,A1,МН,2,иностранцев,Gen.Plur,На чемпионат мира по футболу в Россию приехало много иностранцев.,Many foreigners came to Russia for the World Cup.,_,"политика, люди",24,
иностранец,1152,foreigner,N.Masc.Anim,A1,МН,3,иностранец,Nom.Sing,Директор нашей компании — иностранец. Он приехал из Франции.,The director of our company is a foreigner. He came from France.,_,"политика, люди",24,
россия,1153,Russia,N.Fem.Inan,A1,"Golosa, MiP, МН, Кс",1,россии,Loc.Sing,Вам нравится жить в России?,Do you like living in Russia?,_,политика,11,
россия,1154,Russia,N.Fem.Inan,A1,"Golosa, MiP, МН, Кс",2,россию,Acc.Sing,Он приехал в Россию на неделю и остался навсегда.,He came to Russia for a week and stayed there forever.,_,политика,11,
россия,1155,Russia,N.Fem.Inan,A1,"Golosa, MiP, МН, Кс",3,россией,Ins.Sing,В Берлине начались переговоры между Россией и ЕС.,Negotiations between Russia and the EU began in Berlin.,_,политика,11,
горячий,1156,hot,A,A1,"Golosa, MiP, МН",1,горячих,Gen.Plur,Что у вас есть из горячих блюд?,Which of the main courses do you have?,_,"описание, еда",18,
горячий,1157,hot,A,A1,"Golosa, MiP, МН",2,горячей,Gen.Fem.Sing,Она только что вышла из горячей сауны.,She just came out of the hot sauna.,_,"описание, еда",18,
горячий,1158,hot,A,A1,"Golosa, MiP, МН",3,горячая,Nom.Fem.Sing,Осторожно! Вода в кружке очень горячая!,Be careful! The water in the cup is very hot!,_,"описание, еда",18,
сок,1159,juice,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,сок,Acc.Sing,Я люблю яблочный сок.,I like apple juice.,_,"еда, магазин",8,
сок,1160,juice,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,соком,Ins.Sing,Он пьёт водку с соком.,He drinks vodka with juice.,_,"еда, магазин",8,
сок,1161,juice,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,сока,Gen.Sing,"Дай мне стакан сока, пожалуйста!","Give me a glass of juice, please!",_,"еда, магазин",8,
обувь,1162,shoes,N.Fem.Inan,A1,"Golosa, MiP, МН",1,обувь,Nom.Sing,К этому костюму тебе нужна другая обувь.,You need different shoes for this suit.,_,"магазин, одежда",27,
обувь,1163,shoes,N.Fem.Inan,A1,"Golosa, MiP, МН",2,обуви,Gen.Sing,У меня нет хорошей зимней обуви.,I don't have good winter shoes.,_,"магазин, одежда",27,
обувь,1164,shoes,N.Fem.Inan,A1,"Golosa, MiP, МН",3,обувью,Ins.Sing,В углу стоял ящик со старой обувью.,There was a box with old shoes in the corner.,_,"магазин, одежда",27,
суп,1165,soup,N.Masc.Inan,A1,"Golosa, MiP, МН",1,суп,Acc.Sing,Я не люблю суп без мяса.,I don't like soup without meat.,_,еда,8,
суп,1166,soup,N.Masc.Inan,A1,"Golosa, MiP, МН",2,супы,Acc.Plur,Я не ем супы летом.,I don't eat soups in the summer.,_,еда,8,
суп,1167,soup,N.Masc.Inan,A1,"Golosa, MiP, МН",3,супе,Loc.Sing,В этом супе есть картошка?,Are there potatoes in this soup?,_,еда,8,
аэропорт,1168,airport,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,аэропорту,Loc.Sing,Когда ты прилетаешь? Я встречу тебя в аэропорту.,When are you arriving? I’ll pick you up at the airport.,_,"транспорт, путешествие",16,
аэропорт,1169,airport,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,аэропорта,Gen.Sing,Позвони мне из аэропорта!,Call me from the airport!,_,"транспорт, путешествие",16,
аэропорт,1170,airport,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,аэропорт,Acc.Sing,"Мне пора ехать в аэропорт, а я не могу найти свой паспорт.","It's time for me to go to the airport, but I can’t find my passport.",_,"транспорт, путешествие",16,
сыр,1171,cheese,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Кс",1,сыр,Acc.Sing,Катя не ест сыр с плесенью.,Katya doesn't eat blue cheese.,_,"еда, магазин",8,
сыр,1172,cheese,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Кс",2,сыром,Ins.Sing,Ты будешь бутерброд с сыром и ветчиной?,Would you like to eat a sandwich with cheese and ham?,_,"еда, магазин",8,
сыр,1173,cheese,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Кс",3,сыра,Gen.Sing,Она жить не может без сыра!,She can’t live without cheese!,_,"еда, магазин",8,
юрист,1174,lawyer,N.Masc.Anim,A1,"Golosa, MiP, МН",1,юристов,Gen.Plur,В России сейчас много юристов и экономистов.,There are a lot of lawyers and economists in Russia now.,_,"учёба/работа, люди",29,
юрист,1175,lawyer,N.Masc.Anim,A1,"Golosa, MiP, МН",2,юристы,Nom.Plur,Сколько зарабатывают юристы в Москве?,How much do lawyers in Moscow earn?,_,"учёба/работа, люди",29,
юрист,1176,lawyer,N.Masc.Anim,A1,"Golosa, MiP, МН",3,юриста,Gen.Sing,Мне нужна помощь юриста.,I need help from a lawyer.,_,"учёба/работа, люди",29,
умный,1177,smart,A,A1,"Golosa, MiP, LM, МН",1,умный,Nom.Masc.Sing,Мой сын такой умный!,My son is so smart!,_,"описание, внутренний мир",19,
умный,1178,smart,A,A1,"Golosa, MiP, LM, МН",2,умные,Nom.Plur,Дельфины — умные животные.,Dolphins are very clever animals.,_,"описание, внутренний мир",19,
умный,1179,smart,A,A1,"Golosa, MiP, LM, МН",3,умных,Gen.Plur,Я ещё не встречал таких умных студентов.,I have never met such smart students.,_,"описание, внутренний мир",19,
завтрак,1180,breakfast,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,завтрак,Acc.Sing,Иди есть завтрак!,Come and eat breakfast!,_,еда,3,
завтрак,1181,breakfast,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,завтрака,Gen.Sing,Мы с самого утра без завтрака. Так есть хочется!,We haven’t eaten anything since this morning. We’re so hungry now!,_,еда,3,
завтрак,1182,breakfast,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,завтраком,Ins.Sing,За завтраком он читает новости.,He reads the news during breakfast.,_,еда,3,
курица,1183,chicken,N.Fem.Anim,A1,"Golosa, MiP, МН, Кс",1,куры,Nom.Plur,У моей бабушки в деревне живут куры. ,My grandma has hens in the village.,_,"еда, магазин",8,
курица,1184,chicken,N.Fem.Anim,A1,"Golosa, MiP, МН, Кс",2,курицу,Acc.Sing,Я не ем курицу.,I don't eat chicken.,_,"еда, магазин",8,
курица,1185,chicken,N.Fem.Anim,A1,"Golosa, MiP, МН, Кс",3,курица,Nom.Sing,Эта курица несвежая.,This chicken isn’t fresh.,_,"еда, магазин",8,
младший,1186,younger,A,A1,"Golosa, МН",1,младший,Nom.Masc.Sing,Мой младший брат любит мультики.,My little brother likes cartoons.,_,"люди, описание",15,
младший,1187,younger,A,A1,"Golosa, МН",2,младших,Gen.Plur,У Коли нет младших братьев или сестёр.,Kolya doesn’t have any younger brothers or sisters.,_,"люди, описание",15,
младший,1188,younger,A,A1,"Golosa, МН",3,младшего,Gen.Masc.Sing,У моего младшего брата большая коллекция автомобилей.,My younger brother has a big collection of cars.,_,"люди, описание",15,
конверт,1189,envelope,N.Masc.Inan,A1,"MiP, LM, МН",1,конверт,Acc.Sing,"Передайте этот конверт директору, пожалуйста!","Give this envelope to the director, please!",_,"учёба/работа, магазин",27,
конверт,1190,envelope,N.Masc.Inan,A1,"MiP, LM, МН",2,конверта,Gen.Sing,Он достал письмо из конверта и начал читать.,He took the letter out of the envelope and started to read it.,_,"учёба/работа, магазин",27,
конверт,1191,envelope,N.Masc.Inan,A1,"MiP, LM, МН",3,конверты,Nom.Plur,У вас есть большие конверты?,Do you have large envelopes?,_,"учёба/работа, магазин",27,
копейка,1192,kopeck,N.Fem.Inan,A1,"Golosa, MiP, МН",1,копейки,Gen.Sing,Вот ваша сдача — двадцать три копейки.,Here is your change — 23 kopecks.,_,магазин,23,
копейка,1193,kopeck,N.Fem.Inan,A1,"Golosa, MiP, МН",2,копеек,Gen.Plur,Хлеб стоит сорок два рубля шестьдесят копеек.,Bread costs 42 roubles and 60 kopecks.,_,магазин,23,
копейка,1194,kopeck,N.Fem.Inan,A1,"Golosa, MiP, МН",3,копейку,Acc.Sing,Он даже копейку не отдаст на благотворительность.,He won’t give even a kopeck to charity.,_,магазин,23,
фабрика,1195,factory,N.Fem.Inan,A1,"LM, МН",1,фабрике,Loc.Sing,Мы вчера были на шоколадной фабрике.,Yesterday we visited the chocolate factory.,_,учёба/работа,32,
фабрика,1196,factory,N.Fem.Inan,A1,"LM, МН",2,фабрики,Gen.Sing,Эти конфеты — из фабрики рядом с нашим домом.,These candies are from the factory next to our house.,_,учёба/работа,32,
фабрика,1197,factory,N.Fem.Inan,A1,"LM, МН",3,фабрика,Nom.Sing,В нашем городе открылась фабрика игрушек.,A toy factory opened in our city.,_,учёба/работа,32,
касса,1198,cash register,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,кассе,Loc.Sing,Спички вы можете купить на кассе.,You can by matches at the cash register.,_,магазин,18,
касса,1199,cash register,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,кассу,Acc.Sing,"Старший кассир, подойдите на кассу.","Senior cashier, please come to the cash register.",_,магазин,18,
касса,1200,cash register,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,кассы,Gen.Sing,Грабители забрали из кассы все деньги.,The thieves took all the money from the cash register.,_,магазин,18,
тетрадь,1201,notebook,N.Fem.Inan,A1,"Golosa, MiP, МН",1,тетрадь,Acc.Sing,Запишите тему урока в тетрадь.,Write down the topic of the lesson in your notebook.,_,"учёба/работа, магазин",15,
тетрадь,1202,notebook,N.Fem.Inan,A1,"Golosa, MiP, МН",2,тетрадями,Ins.Plur,На экзамене нельзя пользоваться учебниками и тетрадями.,You are not allowed to use textbooks or notebooks during the exam.,_,"учёба/работа, магазин",15,
тетрадь,1203,notebook,N.Fem.Inan,A1,"Golosa, MiP, МН",3,тетради,Gen.Sing,Гриша заплакал и вырвал листок из тетради.,Grisha started crying and tore out a page from his notebook.,_,"учёба/работа, магазин",15,
приезжать,1204,arrive,V,A1,"Golosa, MiP, МН",1,приезжали,Imperf.Plur.Past,Раньше к нам каждые выходные приезжали гости.,We used to have guests at our house every weekend.,_,путешествие,30,
приезжать,1205,arrive,V,A1,"Golosa, MiP, МН",2,приезжают,Imperf.Plur.3,По выходным к нам приезжают дети и внуки.,On weekends our children and grandchildren come to visit us.,_,путешествие,30,
приезжать,1206,arrive,V,A1,"Golosa, MiP, МН",3,приезжает,Imperf.Sing.3,Завтра к нам приезжает дядя из Саратова.,Tomorrow our uncle from Saratov is coming to visit us.,_,путешествие,30,
голубой,1207,light blue,A,A1,"Golosa, MiP, МН",1,голубой,Nom.Masc.Sing,"У меня правый глаз голубой, а левый — зелёный.",My right eye is light blue and my left one is green.,_,описание,23,
голубой,1208,light blue,A,A1,"Golosa, MiP, МН",2,голубую,Acc.Fem.Sing,Он купил новую голубую рубашку.,He bought new light blue shirt.,_,описание,23,
голубой,1209,light blue,A,A1,"Golosa, MiP, МН",3,голубым,Ins.Masc.Sing,Мои комментарии к работе отмечены голубым цветом.,My comments to the paper are marked in light blue.,_,описание,23,
гитара,1210,guitar,N.Fem.Inan,A1,"Golosa, MiP, МН",1,гитару,Acc.Sing,Мы с друзьями любим петь под гитару.,My friends and I like to sing while playing the guitar.,_,свободное время,10,
гитара,1211,guitar,N.Fem.Inan,A1,"Golosa, MiP, МН",2,гитарой,Ins.Sing,Он вышел на сцену с гитарой и начал играть.,He came on stage with a guitar and started playing.,_,свободное время,10,
гитара,1212,guitar,N.Fem.Inan,A1,"Golosa, MiP, МН",3,гитара,Nom.Sing,Где твоя гитара? Ты хотел спеть нам песню.,Where’s your guitar? You wanted to sing a song for us.,_,свободное время,10,
чашка,1213,cup,N.Fem.Inan,A1,"LM, МН",1,чашку,Acc.Sing,Мама налила молока в чашку.,Mother poured milk into the cup.,_,"магазин, жильё",8,
чашка,1214,cup,N.Fem.Inan,A1,"LM, МН",2,чашки,Gen.Sing,Дети вчера разбили две чашки.,The children broke 2 cups yesterday.,_,"магазин, жильё",8,
чашка,1215,cup,N.Fem.Inan,A1,"LM, МН",3,чашкой,Ins.Sing,Она пришла на кухню с пустой чашкой.,She came into the kitchen with an empty cup.,_,"магазин, жильё",8,
южный,1216,Southern,A,A1,МН,1,южной,Gen.Fem.Sing,Маша вернулась из Южной Кореи.,Masha came back from South Korea.,_,"описание, путешествие",25,
южный,1217,Southern,A,A1,МН,2,южных,Gen.Plur,Сенатор поехал разговаривать с жителями южных штатов.,The senator went to talk with citizens of the southern states.,_,"описание, путешествие",25,
южный,1218,Southern,A,A1,МН,3,южные,Nom.Plur,Южные районы Москвы мне не нравятся.,I don't like the southern districts of Moscow.,_,"описание, путешествие",25,
мороженое,1219,ice cream,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,мороженое,Acc.Sing,Я не люблю фисташковое мороженое.,I don't like pistachio ice-cream.,_,"еда, магазин",25,
мороженое,1220,ice cream,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,мороженым,Ins.Sing,Петя пошёл в магазин за мороженым.,Petya went to the store to buy ice-cream.,_,"еда, магазин",25,
мороженое,1221,ice cream,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,мороженого,Gen.Sing,Какой сорт мороженого ты любишь?,What kind of ice-cream do you like?,_,"еда, магазин",25,
синий,1222,dark blue,A,A1,"Golosa, MiP, LM, МН",1,синий,Nom.Masc.Sing,Синий автобус подъехал к остановке.,A blue bus came to the bus stop.,_,описание,7,
синий,1223,dark blue,A,A1,"Golosa, MiP, LM, МН",2,синие,Nom.Plur,Мне нужны синие туфли и зелёная шляпа.,I need blue shoes and a green hat.,_,описание,7,
синий,1224,dark blue,A,A1,"Golosa, MiP, LM, МН",3,синим,Ins.Masc.Sing,"Синим карандашом Маша нарисовала облака, а жёлтым — солнце.",Masha drew clouds with blue pencil and the sun with a yellow one.,_,описание,7,
столовая,1225,cafeteria,N.Fem.Inan,A1,"Golosa, MiP, МН",1,столовой,Loc.Sing,Мы ждём тебя в столовой. Приходи есть!,We’re waiting for you in the cafeteria. Come eat!,_,"жильё, еда",21,
столовая,1226,cafeteria,N.Fem.Inan,A1,"Golosa, MiP, МН",2,столовую,Acc.Sing,После уроков мы идём есть в столовую.,After classes we go to the cafeteria.,_,"жильё, еда",21,
столовая,1227,cafeteria,N.Fem.Inan,A1,"Golosa, MiP, МН",3,столовая,Nom.Sing,В нашем университете открылась новая столовая.,A new cafeteria opened at our university.,_,"жильё, еда",21,
сахар,1228,sugar,N.Masc.Inan,A1,"Golosa, MiP, МН",1,сахар,Acc.Sing,Я не кладу сахар в кофе.,I don’t put sugar in my coffee.,_,"еда, магазин",31,
сахар,1229,sugar,N.Masc.Inan,A1,"Golosa, MiP, МН",2,сахару,Gen.Sing,,,_,,,osolete and not A1
сахар,1230,sugar,N.Masc.Inan,A1,"Golosa, MiP, МН",3,сахара,Gen.Sing,Я не пью чай без сахара.,I don't drink tea without sugar.,_,"еда, магазин",31,
карандаш,1231,pencil,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,карандаш,Acc.Sing,Дай мне красный карандаш.,Give me a red pencil.,_,"учёба/работа, магазин",10,
карандаш,1232,pencil,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,карандашом,Ins.Sing,"Почему она пишет карандашом, а не ручкой?","Why is she writing with a pencil, and not with a pen?",_,"учёба/работа, магазин",10,
карандаш,1233,pencil,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,карандаша,Gen.Sing,Я потеряла три карандаша.,I lost 3 pencils.,_,"учёба/работа, магазин",10,
рад,1234,glad,A,A1,"LM, МН",1,рад,Masc.Sing,"Как я рад, что вы пришли!",I’m so glad that you came!,_,"описание, внутренний мир",12,
рад,1235,glad,A,A1,"LM, МН",2,рады,Plur,Мы всегда рады вас видеть.,We're always happy to see you.,_,"описание, внутренний мир",12,
рад,1236,glad,A,A1,"LM, МН",3,рада,Fem.Sing,"Я так рада, что сегодня выходной!",I'm so happy that today is a day off.,_,"описание, внутренний мир",12,
разумный,1237,reasonable,A,A1,МН,1,разумными,Ins.Plur,Это магазин с разумными ценами.,This is a shop with reasonable prices.,_,"описание, внутренний мир",28,
разумный,1238,reasonable,A,A1,МН,2,разумная,Nom.Fem.Sing,"Я думаю, что это разумная тактика. Так мы точно выиграем.",I think it’s a reasonable tactic. We’ll definitely win that way.,_,"описание, внутренний мир",28,
разумный,1239,reasonable,A,A1,МН,3,разумных,Gen.Plur,Разумных причин для такого решения не было.,There weren’t solid reasons for such a decision.,_,"описание, внутренний мир",28,
