Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
получаться,8370,result,,V,B2,"Golosa, LM",3,получаться,Imperf.Inf,"Сначала будет тяжело, но потом начнёт получаться.","At first it will be hard, but then it will start to turn out right.",,_,"учёба/работа, внутренний мир",,
одеколон,8371,cologne,,N.Masc.Inan,B2,LM,1,одеколону,Gen.Sing,Дай мне немного своего одеколону. ,Give me some of your cologne.,,_,"люди, одежда",,
одеколон,8372,cologne,,N.Masc.Inan,B2,LM,2,одеколона,Gen.Sing,"Я не буду сидеть рядом с Николаем, он использует слишком много одеколона.","I will not sit next to Nikolai, he uses too much cologne.",,_,"люди, одежда",,
оглохнуть,8373,go deaf,,A,B2,LM,1,оглохший,Perf.PastActiveParticiple.Nom.Masc.Sing,"Степан вернулся с войны хромой и почти оглохший, но продолжил работать. ","Stepan returned from the war lame and almost deaf, but continued to work.",,_,здоровье,,
оглохнуть,8374,go deaf,,A,B2,LM,2,оглохшему,Perf.PastActiveParticiple.Dat.Masc.Sing,"Оглохшему от взрывов Тимуру показалось, что битва кончилась, но он ошибся.","Timur who was deafened by the explosions thought that the battle was over, but he was mistaken.",,_,здоровье,,
оглохнуть,8375,go deaf,,V,B2,LM,3,оглохнув,Perf.Gerund,"Они не слышали друг друга, оглохнув от шума самолётов. ","They could not hear each other, deafened by noise of the airplanes.",,_,здоровье,,
одеяло,8376,blanket,,N.Neut.Inan,B2,LM,1,одеялом,Ins.Sing,"Я всегда сплю под толстым одеялом, даже летом. ","I always sleep under a thick blanket, even in winter.",,_,"жильё, свободное время",,
одеяло,8377,blanket,,N.Neut.Inan,B2,LM,2,одеяло,Acc.Sing,Оля дрожала от холода и куталась в одеяло. ,Olya trembled from cold and wrapped herself in a blanket.,,_,"жильё, свободное время",,
одеяло,8378,blanket,,N.Neut.Inan,B2,LM,3,одеяла,Gen.Sing,Я часто сплю без одеяла. ,I often sleep without a blanket.,,_,"жильё, свободное время",,
одинокий,8379,lonely,,A,B2,LM,1,одинокий,Nom.Masc.Sing,"Филипп - одинокий отец, ему нужна помощь. ","Fillip is a single father, he needs help.",,_,"внутренний мир, общение",,
одинокий,8380,lonely,,A,B2,LM,2,одинокой,Gen.Fem.Sing,Из одинокой и грустной девочки Алиса превратилась в очаровательную популярную женщину. ,"From a lonely and sad girl, Alice turned into a charming popular woman.",,_,"внутренний мир, общение",,
одинокий,8381,lonely,,A,B2,LM,3,одинок,Masc.Sing,"Я так одинок сейчас, что хочу умереть. ",I am so lonely now that I want to die.,,_,"внутренний мир, общение",,
одиночество,8382,loneliness,,N.Neut.Inan,B2,LM,1,одиночества,Gen.Sing,Новогодняя вечеринка - лучшее средство от одиночества.,A New Year's party is the best medicine for loneliness. ,,_,"внутренний мир, общение",,
одиночество,8383,loneliness,,N.Neut.Inan,B2,LM,2,одиночестве,Loc.Sing,Я не хочу встречать старость в одиночестве. ,I do not want to deal with old age alone.,,_,"внутренний мир, общение",,
одиночество,8384,loneliness,,N.Neut.Inan,B2,LM,3,одиночество,Nom.Sing,"Тех, кто не похож на других, ждёт постоянное одиночество.",Constant loneliness awaits those who are not like the others.,,_,"внутренний мир, общение",,
однократный,8385,one-time,,A,B2,LM,1,однократных,Loc.Plur,Жильцы общежития обязаны предупреждать администрацию об однократных визитах гостей.,Residents of the dormitory are obliged to inform the administration about every single guest visit.,,_,"мера, описание",,
однократный,8386,one-time,,A,B2,LM,2,однократный,Inan.Acc.Masc.Sing,За однократный въезд в страну без визы вам придётся заплатить лишь небольшой штраф.,For a single entry into the country without a visa you must pay just a small fee.,,_,"мера, описание",,
одноместный,8387,single-occupancy,,A,B2,LM,1,одноместными,Ins.Plur,Из холла гостиницы мы попали в коридор с одноместными комнатами.,From the hotel lobby we entered a corridor with single rooms.,,_,"жильё, путешествие",,
однообразный,8388,monotonous,,A,B2,LM,1,однообразный,Nom.Masc.Sing,Однообразный вид из окна поезда навевает тоску. ,The monotonous view from the train's window makes you sad.,,_,внутренний мир,,
однообразный,8389,monotonous,,A,B2,LM,2,однообразные,Nom.Plur,"Однообразные задания не подходят нашим детям, из-за них им становится скучно в школе.","Monotonous tasks are not suitable for our childrem, they make them bored at school.",,_,внутренний мир,,
однообразный,8390,monotonous,,A,B2,LM,3,однообразной,Loc.Fem.Sing,"Он считал, что ему нечего было рассказывать о своей скучной и однообразной жизни.",He felt that he had nothing to tell about his boring and monotonous life.,,_,внутренний мир,,
одноразовый,8391,one-time-use,,A,B2,LM,1,одноразового,Gen.Neut.Sing,Экологи призывают отказаться от одноразового использования вещами.,Environmentalists are encouraging people to stop using single-use items.,,_,описание,,
однородный,8392,homogeneous,,A,B2,LM,1,однородным,Ins.Masc.Sing,"Раствор должен получиться однородным, без комочков.","The mixture should be smooth, without lumps.",,_,описание,,
однородный,8393,homogeneous,,A,B2,LM,2,однородную,Acc.Fem.Sing,Взбейте муку и яйца в однородную массу.,Beat flour and eggs into a homogeneous mass.,,_,описание,,
однородный,8394,homogeneous,,A,B2,LM,3,однородный,Nom.Masc.Sing,Для украшения сада нам нужен однородный мелкий песок. ,"To decorate the garden, we need smooth fine sand.",,_,описание,,
оглядываться,8395,look back,,V,B2,LM,1,оглядываясь,Imperf.Gerund,"Карина попрощалась и ушла, не оглядываясь.",Karina said goodbye and left without looking back.,,_,"люди, общение",,
оглядываться,8396,look back,,V,B2,LM,2,оглядывались,Imperf.Plur.Past,Туристы стояли на вокзале и пугливо оглядывались по сторонам. ,The tourists stood at the train station and looked around in fear.,,_,"люди, общение",,
оглядываться,8397,look back,,V,B2,LM,3,оглядываются,Imperf.Plur.3,"Ксения - очень красивая женщина, мужчины всегда оглядываются ей вслед. ","Ksenia is a beautiful woman, men always turn to look at her.",,_,"люди, общение",,
одуванчик,8398,dandelion,,N.Masc.Inan,B2,LM,1,одуванчиков,Gen.Plur,Мальчик принёс маме с прогулки букет из одуванчиков. ,The boy brought his mother a bouquet of dandelions from the walk.,,_,животные/растения,,
ожидание,8399,anticipation,,N.Neut.Inan,B2,LM,1,ожидания,Gen.Sing,Время ожидания в очереди не превышает десяти минут. ,Waiting time in the line does not exceed ten minutes.,,_,внутренний мир,,
ожидание,8400,anticipation,,N.Neut.Inan,B2,LM,2,ожидании,Loc.Sing,Солдаты замерли в ожидании новых приказов. ,The soldiers held still waiting for new orders. ,,_,внутренний мир,,
ожидание,8401,anticipation,,N.Neut.Inan,B2,LM,3,ожиданием,Ins.Sing,"Все с ожиданием смотрели на Лидию, но она больше ничего не сказала.","Everyone looked at Lydia in expectation, but she said nothing more.",,_,внутренний мир,,
ожог,8402,burn,,N.Masc.Inan,B2,LM,1,ожогов,Gen.Plur,После пожара на руках Олега остались следы от ожогов. ,After the fire there were burn marks on Oleg’s hands,,_,здоровье,,
оглянуться,8403,look back,,V,B2,LM,1,оглянуться,Perf.Inf,Всё чаще хочется оглянуться назад и вернуться в молодость.,Ever more often one wants to look back and return to one's youth.,,_,"люди, общение",,
оглянуться,8404,look back,,V,B2,LM,2,оглянулся,Perf.Masc.Sing.Past,"Выйдя за ворота, я оглянулся на нашу дачу.","On my way out of the gate, I looked back at our cottage.",,_,"люди, общение",,
оглянуться,8405,look back,,V,B2,LM,3,оглянувшись,Perf.Gerund,"Оглянувшись, Миша заметил, что Эдуард и Женя бегут за ним.","Looking around, Misha noticed that Edward and Zhenya were running after him.",,_,"люди, общение",,
ограбить,8406,rob,,V,B2,LM,1,ограбить,Perf.Inf,"Не ходи вечером через парк, там тебя могут ограбить. ","Do not walk through the park in the evening, you could get robbed there.",,_,"люди, здоровье",,
ограбить,8407,rob,,V,B2,LM,2,ограбила,Perf.Fem.Sing.Past,В октябре банда ограбила больше десяти квартир. ,In October the gang robbed more than ten apartments.,,_,"люди, здоровье",,
ограбить,8408,rob,,V,B2,LM,3,ограбят,Perf.Plur.3,"Не волнуйся, здесь тебя не ограбят.","Don’t worry, you won't get robbed here.",,_,"люди, здоровье",,
ограничивать,8409,limit,,V,B2,LM,1,ограничивает,Imperf.Sing.3,Новый закон ограничивает свободу граждан.,The new law restricts the freedom of citizens.,,_,"политика, общение",,
ограничивать,8410,limit,,V,B2,LM,2,ограничивать,Imperf.Inf,Мать не хочет ни в чём ограничивать своего сына.,The mother does not want to limit her son in any way.,,_,"политика, общение",,
ограничивать,8411,limit,,V,B2,LM,3,ограничивают,Imperf.Plur.3,Государства ограничивают импорт из Ирана по политическим причинам.,Countries are restricting imports from Iran for political reasons.,,_,"политика, общение",,
окорок,8412,ham,,N.Masc.Inan,B2,LM,1,окорок,Acc.Sing,"Купи в магазине копчёный окорок, у нас гости. ","Buy a smoked ham in the store, we're having guests.",,_,еда,,
окорок,8413,ham,,N.Masc.Inan,B2,LM,2,окорока,Gen.Sing,"Собака принесла кость - всё, что осталось от окорока. ",The dog brought a bone - that was all that was left of the ham.,,_,еда,,
окраина,8414,outskirts,,N.Fem.Inan,B2,LM,1,окраине,Loc.Sing,Путешественники остановились на окраине города. ,The travelers stopped on the outskirts of the city.,,_,"жильё, транспорт",,
окраина,8415,outskirts,,N.Fem.Inan,B2,LM,2,окраинах,Loc.Plur,На окраинах Москвы строится много новых районов.,A lot of new new districts are being built on the outskirts of Moscow.,,_,"жильё, транспорт",,
окраина,8416,outskirts,,N.Fem.Inan,B2,LM,3,окраины,Gen.Sing,Макс - обычный парень с окраины Твери.,Max is an ordinary guy from the outskirts of Tver.,,_,"жильё, транспорт",,
окрошка,8417,okroshka,,N.Fem.Inan,B2,LM,1,окрошка,Nom.Sing,Окрошка - любимый летний суп многих россиян. ,Okroshka is a favorite summer soup of many Russians.,,_,еда,,
округ,8418,district,,N.Masc.Inan,B2,LM,1,округа,Gen.Sing,Ученики всех школ нашего округа каждый год проводят экскурсии в столицу.,Pupils from all the schools in our district go on excursions to the capital every year.,,_,политика,,
округ,8419,district,,N.Masc.Inan,B2,LM,2,округе,Loc.Sing,В Сибирском федеральном округе сохраняется высокий уровень безработицы.,In the Siberian Federal District there is a high level of unemployment.,,_,политика,,
округ,8420,district,,N.Masc.Inan,B2,LM,3,округах,Loc.Plur,Во многих округах Москвы проходят встречи кандидатов с молодёжью. ,In many districts of Moscow they are holding meetings of candidates with youth.,,_,политика,,
ограничиваться,8421,be limited to,,V,B2,LM,1,ограничивается,Imperf.Sing.3,Применение пластика в пищевой промышленности постепенно ограничивается.,The use of plastic in the food industry is being gradually curtailed.,,_,описание,,
ограничиваться,8422,be limited to,,V,B2,LM,2,ограничиваться,Imperf.Inf,Современный учитель не может ограничиваться только учебниками. ,A modern teacher cannot be limited only to textbooks.,,_,описание,,
ограничиваться,8423,be limited to,,V,B2,LM,3,ограничиваются,Imperf.Plur.3,Возможности новых телефонов не ограничиваются только звонками и СМС. ,The functionality of new phones is not limited to calls and text messages.,,_,описание,,
окружающий,8424,surrounding,,A,B2,LM,1,окружающей,Gen.Fem.Sing,Защита окружающей среды - главная задача нового поколения. ,Protection of the environment is the main task of the new generation.,,_,"погода, животные/растения",,
окружающий,8425,surrounding,,A,B2,LM,2,окружающего,Gen.Masc.Sing,Познание окружающего мира очень важно для детей.,Exploring the surrounding world is very important for children.,,_,"погода, животные/растения",,
окружающий,8426,surrounding,,A,B2,LM,3,окружающую,Acc.Fem.Sing,Не загрязняйте окружающую среду!,Do not pollute the environment!,,_,"погода, животные/растения",,
окулист,8427,oculist,,N.Masc.Anim,B2,LM,1,окулисту,Dat.Sing,Мне нужно пойти к окулисту - я стала плохо видеть.,I should go to an eye doctor - I have started having trouble seeing.,,_,здоровье,,
олень,8428,deer,,N.Masc.Anim,B2,LM,1,оленей,Gen.Plur,В Лапландии живёт двести тысяч человек и столько же северных оленей.,Two hundred thousand people and as many reindeer live in Lapland.,,_,животные/растения,,
олень,8429,deer,,N.Masc.Anim,B2,LM,2,олень,Nom.Sing,Олень - благородное и красивое животное. ,The deer is a noble and beautiful animal.,,_,животные/растения,,
олень,8430,deer,,N.Masc.Anim,B2,LM,3,оленя,Gen.Sing,На спине у оленя были белые пятнышки. ,The deer had white spots on its back.,,_,животные/растения,,
оливковый,8431,olive,,A,B2,LM,1,оливковым,Ins.Neut.Sing,Салат можно заправить оливковым маслом или майонезом.,A salad can be seasoned with olive oil or mayonnaise.,,_,"животные/растения, еда",,
оливковый,8432,olive,,A,B2,LM,2,оливковое,Nom.Neut.Sing,"Оливковое масло полезнее, чем сливочное.",Olive oil is healthier than butter.,,_,"животные/растения, еда",,
оливковый,8433,olive,,A,B2,LM,3,оливковую,Acc.Fem.Sing,Голубь несёт в клюве оливковую ветвь - символ мира.,A dove carrying an olive branch in its beak is a symbol of peace.,,_,"животные/растения, еда",,
олимпиада,8434,olympiad,,N.Fem.Inan,B2,LM,1,олимпиады,Gen.Sing,После олимпиады многие стали больше интересоваться спортом. ,"After the Olympics, many people became more interested in sports.",,_,"свободное время, учёба/работа",,
олимпиада,8435,olympiad,,N.Fem.Inan,B2,LM,2,олимпиаду,Acc.Sing,"Возможно, сборная России не поедет на следующую олимпиаду. ",Perhaps the Russian team will not go to the next Olympics.,,_,"свободное время, учёба/работа",,
олимпиада,8436,olympiad,,N.Fem.Inan,B2,LM,3,олимпиаде,Loc.Sing,На Олимпиаде в Атланте сборная России заняла четвёртое место.,"At the Olympics in Atlanta, the Russian team took fourth place.",,_,"свободное время, учёба/работа",,
олимпийский,8437,olympic,,A,B2,"Golosa, LM",1,олимпийской,Gen.Fem.Sing,Некоторые хотели исключить фигурное катание из олимпийской программы. ,Some people wanted to exclude figure skating from the Olympic program.,,_,свободное время,,
олимпийский,8438,olympic,,A,B2,"Golosa, LM",2,олимпийскую,Acc.Fem.Sing,В олимпийскую деревню приехали первые спортсмены.,The first athletes have arrived at the Olympic village.,,_,свободное время,,
олимпийский,8439,olympic,,A,B2,"Golosa, LM",3,олимпийском,Loc.Masc.Sing,В олимпийском комитете идут споры о выборе нового президента.,There are debates in the Olympic committee about choosing a new president.,,_,свободное время,,
омлет,8440,omelette,,N.Masc.Inan,B2,LM,1,омлет,Acc.Sing,Завтра я встану пораньше и приготовлю тебе омлет на завтрак.,Tomorrow I'll get up early and cook you an omelet for breakfast.,,_,еда,,
оперетта,8441,operetta,,N.Fem.Inan,B2,LM,1,оперетты,Gen.Sing,"На сцене Московской оперетты во вторник прошла премьера ""Нотр-Дам де Пари"".",The premiere of Notre Dame de Paris took place at the Moscow Operetta on Tuesday.,,_,свободное время,,
оперетта,8442,operetta,,N.Fem.Inan,B2,LM,2,оперетт,Gen.Plur,В советское время в магазинах продавали много пластинок с ариями из оперетт.,"In Soviet times, there were a lot of records with operetta arias sold in the shops.",,_,свободное время,,
описание,8443,description,,N.Neut.Inan,B2,LM,1,описания,Gen.Sing,Отношения Маяковского и Лили Брик заслуживают отдельного описания.,The relationship between Mayakovsky and Lilya Brik deserves a separate description.,,_,описание,,
описание,8444,description,,N.Neut.Inan,B2,LM,2,описание,Nom.Sing,Первое детальное описание нового металла было сделано Соколовой.,The first detailed description of the new metal was made by Sokolova.,,_,описание,,
описание,8445,description,,N.Neut.Inan,B2,LM,3,описании,Loc.Sing,В описании города ничего не говорится о его музеях.,The description of the city does not say anything about its museums.,,_,описание,,
одерживать,8446,gain,,V,B2,LM,1,одерживая,Imperf.Gerund,"Наполеон шёл по Европе, одерживая победу за победой.","Napoleon marched through Europe, winning victory after victory.",,_,"свободное время, учёба/работа",,
одерживать,8447,gain,,V,B2,LM,2,одерживать,Imperf.Inf,Неожиданно российская команда начала одерживать всё больше побед.,"Suddenly, the Russian team started winning more victories.",,_,"свободное время, учёба/работа",,
одерживать,8448,gain,,V,B2,LM,3,одерживала,Imperf.Fem.Sing.Past,По жизни Вера шла напролом и одерживала победы.,"Vera went through life boldly, winning victories on her way.",,_,"свободное время, учёба/работа",,
опоздание,8449,delay,,N.Neut.Inan,B2,LM,1,опозданием,Ins.Sing,Владелец компании явился на пресс-конференцию с огромным опозданием.,The owner of the company arrived at the press conference very late.,,_,"транспорт, учёба/работа",,
опоздание,8450,delay,,N.Neut.Inan,B2,LM,2,опоздания,Acc.Plur,В школе нас ругают за опоздания.,At school we are punished for being late.,,_,"транспорт, учёба/работа",,
опорный,8451,supporting,,A,B2,LM,1,опорный,Nom.Masc.Sing,Опорный пункт полиции находится в соседнем доме.,The police station is located next door.,,_,описание,,
опорный,8452,supporting,,A,B2,LM,2,опорная,Nom.Fem.Sing,Для правильного удара опорная нога должна быть немного согнута.,In order to deliver a proper blow the supporting leg should be slightly bent.,,_,описание,,
оппозиция,8453,opposition,,N.Fem.Inan,B2,LM,1,оппозиция,Nom.Sing,Российская оппозиция разделилась на два лагеря.,The Russian opposition was divided into two camps.,,_,политика,,
оппозиция,8454,opposition,,N.Fem.Inan,B2,LM,2,оппозиции,Gen.Sing,Лидер оппозиции провёл совещание по вопросу следующих выборов.,The opposition leader held a meeting regarding the next election.,,_,политика,,
оппозиция,8455,opposition,,N.Fem.Inan,B2,LM,3,оппозицию,Acc.Sing,Многие россияне готовы голосовать за оппозицию.,Many Russian citizens are prepared to vote for the opposition.,,_,политика,,
оппонент,8456,opponent,,N.Masc.Anim,B2,LM,1,оппоненты,Nom.Plur,"Через пару дней Иван забыл о споре, но его оппоненты всё помнили.","After a couple of days, Ivan forgot about the dispute, but his opponents remembered everything.",,_,"политика, общение",,
оппонент,8457,opponent,,N.Masc.Anim,B2,LM,2,оппонентов,Gen.Plur,Никто из наших оппонентов даже не задумывается о вреде нового законопроекта.,None of our opponents are even thinking about the dangers of the new bill.,,_,"политика, общение",,
оппонент,8458,opponent,,N.Masc.Anim,B2,LM,3,оппонента,Gen.Sing,"Александра настаивала на своём, не прислушиваясь к мнению оппонента. ","Alexandra stood her ground, not listening to her opponent’s opinion.",,_,"политика, общение",,
одобрять,8459,approve,,V,B2,LM,1,одобряют,Imperf.Plur.3,Родители не одобряют поведение своей дочери. ,The parents do not approve of their daughter's behavior.,,_,"общение, внутренний мир",,
одобрять,8460,approve,,A,B2,LM,2,одобряющих,Imperf.PresentActiveParticiple.Gen.Plur,"Количество людей, одобряющих действия правительства, растёт с каждым годом. ",The number of people who approve of government action is growing every year.,,_,"общение, внутренний мир",,
одобрять,8461,approve,,V,B2,LM,3,одобряли,Imperf.Plur.Past,Власти одобряли Огородова как очень хорошего скульптора. ,The authorities praised Ogorodov as a very good sculptor.,,_,"общение, внутренний мир",,
определение,8462,definition,,N.Neut.Inan,B2,LM,1,определения,Gen.Sing,Для определения объёма тела необходимо погрузить его в жидкость.,"In order to measure the volume of an object, one should immerse it in liquid.",,_,"учёба/работа, описание",,
определение,8463,definition,,N.Neut.Inan,B2,LM,2,определению,Dat.Sing,"По определению лингвистов, язык - это система знаков. ","According to linguists' definition, language is a system of signs.",,_,"учёба/работа, описание",,
определение,8464,definition,,N.Neut.Inan,B2,LM,3,определение,Nom.Sing,Каждому термину соответствует точное определение.,Each term corresponds to an exact definition.,,_,"учёба/работа, описание",,
оказывать,8465,render,,V,B2,LM,1,оказывает,Imperf.Sing.3,"""Красный Крест"" оказывает помощь пострадавшим.",The Red Cross provides help to victims.,,_,"учёба/работа, внутренний мир",,
оказывать,8466,render,,V,B2,LM,2,оказывать,Imperf.Inf,Наша компания оказывает бытовые услуги жителям Санкт-Петербурга.,Our company provides domestic services to residents of St. Petersburg.,,_,"учёба/работа, внутренний мир",,
оказывать,8467,render,,V,B2,LM,3,оказывают,Imperf.Plur.3,"Считается, что компьютерные игры оказывают влияние на психику ребёнка.",It is believed that computer games have an impact on children's minds.,,_,"учёба/работа, внутренний мир",,
опровержение,8468,refutation,,N.Neut.Inan,B2,LM,1,опровержения,Gen.Sing,Не существует научного опровержения теории Дарвина. ,There is no scientific refutation of Darwin's theory.,,_,"общение, политика",,
опровержение,8469,refutation,,N.Neut.Inan,B2,LM,2,опровержением,Ins.Sing,Пресс-секретарь выступил с опровержением новости.,A spokesman made a rebuttal regarding the news.,,_,"общение, политика",,
опровержение,8470,refutation,,N.Neut.Inan,B2,LM,3,опровержение,Acc.Sing,"Ваша статья - ложь, вы должны опубликовать опровержение.","Your article is a lie, you should publish a retraction.",,_,"общение, политика",,
оптимизм,8471,optimism,,N.Masc.Inan,B2,LM,1,оптимизма,Gen.Sing,"Несмотря на тяжелую болезнь, Сахаров не теряет оптимизма.","Despite his serious illness, Sakharov does not cease to be optimistic.",,_,внутренний мир,,
оптимизм,8472,optimism,,N.Masc.Inan,B2,LM,2,оптимизм,Nom.Sing,"Иногда мне бывает грустно, но врождённый оптимизм берёт верх.","Sometimes I feel sad, but my innate optimism takes over.",,_,внутренний мир,,
оптимизм,8473,optimism,,N.Masc.Inan,B2,LM,3,оптимизмом,Ins.Sing,Мы смотрим в будущее с оптимизмом.,We look toward the future with optimism.,,_,внутренний мир,,
оптимистический,8474,optimistic,,A,B2,LM,1,оптимистических,Gen.Plur,Сегодня в этом зале мы видим воплощение оптимистических идей. ,Today in this room we see the embodiment of optimistic ideas.,,_,внутренний мир,,
оптимистический,8475,optimistic,,A,B2,LM,2,оптимистическими,Ins.Plur,За оптимистическими процентами всегда стоят реальные цифры.,Behind optimistic percentages there are always real numbers.,,_,внутренний мир,,
оптимистический,8476,optimistic,,A,B2,LM,3,оптимистические,Nom.Plur,В этот раз оптимистические ожидания не оправдались.,"This time, the optimistic expectations turned out to be false.",,_,внутренний мир,,
оптимистичный,8477,optimistic,,A,B2,LM,1,оптимистичный,Inan.Acc.Masc.Sing,Выставка погружает посетителя в оптимистичный мир эпохи модерна.,The exhibition immerses the visitor in the optimistic world of Art Nouveau.,,_,внутренний мир,,
оптимистичный,8478,optimistic,,A,B2,LM,2,оптимистичными,Ins.Plur,Высказывания посла были подчеркнуто оптимистичными и мягкими. ,The ambassador's remarks were emphatically optimistic and gentle.,,_,внутренний мир,,
оптимистичный,8479,optimistic,,A,B2,LM,3,оптимистичного,Anim.Acc.Masc.Sing,Все знали его как оптимистичного и добродушного человека.,Everyone knew him as an optimistic and good-natured man.,,_,внутренний мир,,
оккупировать,8480,occupy,,A,B2,LM,1,оккупированных,Perf.PastPassiveParticple.Loc.Plur,"Из экскурсии дети узнали, какой была жизнь на оккупированных территориях.","From the tour, the children learned what life was like in the occupied territories.",,_,политика,,
оккупировать,8481,occupy,,A,B2,LM,2,оккупированном,Perf.PastPassiveParticple.Loc.Masc.Sing,В оккупированном городе начался голод.,Famine set in in the occupied city.,,_,политика,,
оккупировать,8482,occupy,,A,B2,LM,3,оккупированной,Perf.PastPassiveParticple.Loc.Fem.Sing,"На оккупированной территории остались не только мирные жители, но и многие военные. ","Not only civilians, but also many military personnel remained in the occupied territory.",,_,политика,,
окружать,8483,surround,,V,B2,LM,1,окружали,Imperf.Plur.Past,С детства Дарью окружали творческие люди. ,From childhood Daria was surrounded by creative people.,,_,описание,,
окружать,8484,surround,,V,B2,LM,2,окружает,Imperf.Sing.3,Пустыня окружает городок со всех сторон.,The desert surrounds the town on all sides.,,_,описание,,
окружать,8485,surround,,A,B2,LM,3,окружающем,Imperf.PresentActiveParticiple.Loc.Masc.Sing,Дети не могут выжить в окружающем мире без нашей помощи.,Children cannot survive in the surrounding world without our help.,,_,описание,,
оранжевый,8486,orange,,A,B2,"Golosa, LM",1,оранжевых,Gen.Plur,Запрещено находиться в здании завода без специальных оранжевых жилетов.,It is forbidden to enter the factory building without special orange vests.,,_,описание,,
оранжевый,8487,orange,,A,B2,"Golosa, LM",2,оранжевыми,Ins.Plur,Мы еще долго купались и загорали под оранжевыми лучами вечернего солнца,We swam for a long time and sunbathed under the orange rays of the evening sun,,_,описание,,
оранжевый,8488,orange,,A,B2,"Golosa, LM",3,оранжевым,Ins.Neut.Sing,Нечасто нам удавалось любоваться оранжевым небом на закате.,It wasn't often that we could see the orange sky at sunset.,,_,описание,,
орган,8489,organ,,N.Masc.Inan,B2,LM,1,органов,Gen.Plur,Некоторые работники налоговых органов не имеют высшего образования.,Some tax officials do not have higher education.,,_,"здоровье, политика",,
орган,8490,organ,,N.Masc.Inan,B2,LM,2,органами,Ins.Plur,Организаторы должны согласовать концерт с правоохранительными органами.,The organizers must coordinate the concert with law enforcement.,,_,"здоровье, политика",,
орган,8491,organ,,N.Masc.Inan,B2,LM,3,органы,Nom.Plur,Органы чувств позволяют человеку ориентироваться в пространстве.,The senses allow a person to orient in space.,,_,"здоровье, политика",,
организатор,8492,organizer,,N.Masc.Anim,B2,LM,1,организатор,Nom.Sing,Организатор выставки дал интервью крупному журналу.,The organizer of the exhibition was interviewed by a major magazine.,,_,"учёба/работа, политика",,
организатор,8493,organizer,,N.Masc.Anim,B2,LM,2,организаторы,Nom.Plur,Организаторы праздника не были готовы к большому количеству гостей.,The organizers of the event were not prepared for a large number of guests.,,_,"учёба/работа, политика",,
организатор,8494,organizer,,N.Masc.Anim,B2,LM,3,организатора,Gen.Sing,Без опытного организатора невозможно хорошо провести мероприятие.,Without an experienced organizer it is impossible to have a good event.,,_,"учёба/работа, политика",,
организм,8495,organism,,N.Masc.Inan,B2,LM,1,организма,Gen.Sing,Общее состояние организма может влиять на настроение пациента.,The general condition of the body can affect the mood of the patient.,,_,здоровье,,
организм,8496,organism,,N.Masc.Inan,B2,LM,2,организм,Nom.Sing,"Мой организм не справляется с нагрузками, мне нужен отдых.","My body cannot cope with the workload, I need a rest.",,_,здоровье,,
организм,8497,organism,,N.Masc.Inan,B2,LM,3,организме,Loc.Sing,Курение может изменять уровень гормонов в организме.,Smoking can alter the level of hormones in the body.,,_,здоровье,,
орден,8498,order,,N.Masc.Inan,B2,"MiP, LM",1,ордена,Gen.Sing,Герой войны получил два ордена Ленина.,The war hero received two Orders of Lenin.,,_,учёба/работа,,
орден,8499,order,,N.Masc.Inan,B2,"MiP, LM",2,орден,Nom.Sing,Зачем мне орден? Я согласен на медаль.,Why would I need an Order? I agree to a medal.,,_,учёба/работа,,
орден,8500,order,,N.Masc.Inan,B2,"MiP, LM",3,орденом,Ins.Sing,"Мой дед был дважды награждён орденом ""За заслуги"".",My grandfather was twice awarded with the Order of Merit.,,_,учёба/работа,,
орел,8501,eagle,,N.Masc.Anim,B2,LM,1,орёл,Nom.Sing,Символ России - двуглавый орёл.,The symbol of Russia is the double-headed eagle.,,_,"политика, животные/растения",,
орел,8502,eagle,,N.Masc.Anim,B2,LM,2,орла,Gen.Sing,У орла очень острое зрение.,The eagle has very sharp eyesight.,,_,"политика, животные/растения",,
орел,8503,eagle,,N.Masc.Anim,B2,LM,3,орлами,Ins.Plur,Ласточки редко летают рядом с орлами.,Swallows rarely fly next to eagles.,,_,"политика, животные/растения",,
орех,8504,nut,,N.Masc.Inan,B2,LM,1,орехи,Nom.Plur,"Учёные выяснили, что орехи укрепляют сердце.",Scientists have discovered that nuts strengthen the heart.,,_,еда,,
орех,8505,nut,,N.Masc.Inan,B2,LM,2,орехов,Gen.Plur,Папа принёс из магазина килограмм грецких орехов.,Dad brought a kilogram of walnuts from the store.,,_,еда,,
орех,8506,nut,,N.Masc.Inan,B2,LM,3,ореха,Gen.Sing,В тесто добавьте щепотку мускатного ореха.,Add a pinch of nutmeg to the dough.,,_,еда,,
оригинал,8507,original,,N.Masc.Inan,B2,LM,1,оригинала,Gen.Sing,Анна всегда смотрит фильмы на языке оригинала. ,Anna always watches films in the original language.,,_,описание,,
оригинал,8508,original,,N.Masc.Inan,B2,LM,2,оригинал,Acc.Sing,Копия картины совсем не похожа на оригинал. ,The copy of the picture does not look like the original at all. ,,_,описание,,
оригинал,8509,original,,N.Masc.Inan,B2,LM,3,оригинале,Loc.Sing,"Некоторые стихи в переводе звучат лучше, чем в оригинале. ",Some verses sound better in translation than in the original version.,,_,описание,,
